id,concerned_user_id,status,timer_duration,topic,reader_name,is_dropoff,created_at,updated_at
1,951,SESSION_END,1081,career,Oracle_4,False,2025-02-23T22:06:49,2025-02-23T22:24:50
2,224,WRAP_UP,644,general,Oracle_1,False,2024-07-20T04:02:24,2024-07-20T04:13:08
3,36,COUNSELLING,971,relationship,Oracle_4,True,2024-01-15T13:48:03,2024-01-15T14:04:14
4,153,SESSION_END,496,self-growth,Oracle_4,False,2025-05-31T05:09:02,2025-05-31T05:17:18
5,273,WRAP_UP,925,career,Oracle_4,False,2025-01-16T02:55:40,2025-01-16T03:11:05
6,447,SESSION_END,851,anxiety,Oracle_2,False,2025-02-23T12:43:44,2025-02-23T12:57:55
7,4,WRAP_UP,1139,anxiety,Oracle_3,False,2024-10-05T18:43:21,2024-10-05T19:02:20
8,699,SESSION_END,1070,family,Oracle_5,False,2024-10-10T18:43:03,2024-10-10T19:00:53
9,874,COUNSELLING,569,family,Oracle_2,True,2025-05-18T03:43:43,2025-05-18T03:53:12
10,181,COUNSELLING,805,general,Oracle_2,True,2024-10-25T09:19:47,2024-10-25T09:33:12
11,307,SESSION_END,711,self-growth,Oracle_4,False,2024-03-06T21:57:04,2024-03-06T22:08:55
12,753,COUNSELLING,1001,career,Oracle_1,True,2024-05-29T23:30:33,2024-05-29T23:47:14
13,738,WRAP_UP,950,general,Oracle_4,False,2024-08-27T00:31:09,2024-08-27T00:46:59
14,547,SESSION_END,1056,anxiety,Oracle_3,False,2024-01-29T18:31:32,2024-01-29T18:49:08
15,58,SESSION_END,785,family,Oracle_5,False,2025-05-22T20:38:46,2025-05-22T20:51:51
16,470,SESSION_END,917,self-growth,Oracle_2,False,2025-03-25T23:47:12,2025-03-26T00:02:29
17,948,COUNSELLING,1203,relationship,Oracle_5,True,2025-01-01T00:10:14,2025-01-01T00:30:17
18,47,SESSION_END,1366,career,Oracle_2,False,2024-01-12T03:47:12,2024-01-12T04:09:58
19,648,SESSION_END,902,relationship,Oracle_1,False,2025-04-04T01:49:50,2025-04-04T02:04:52
20,838,COUNSELLING,1053,relationship,Oracle_5,True,2025-04-07T03:10:57,2025-04-07T03:28:30
21,226,WRAP_UP,821,relationship,Oracle_3,False,2024-11-08T05:59:01,2024-11-08T06:12:42
22,124,SESSION_END,1164,self-growth,Oracle_2,False,2024-09-06T18:52:11,2024-09-06T19:11:35
23,783,WRAP_UP,1167,relationship,Oracle_2,False,2024-11-18T11:02:15,2024-11-18T11:21:42
24,714,WRAP_UP,961,family,Oracle_5,False,2024-07-08T05:51:52,2024-07-08T06:07:53
25,42,COUNSELLING,1298,career,Oracle_1,True,2024-05-02T12:44:29,2024-05-02T13:06:07
26,901,COUNSELLING,734,anxiety,Oracle_2,True,2024-01-06T14:39:54,2024-01-06T14:52:08
27,949,WRAP_UP,706,relationship,Oracle_2,False,2025-01-04T17:30:56,2025-01-04T17:42:42
28,212,WRAP_UP,1322,career,Oracle_2,False,2024-11-16T00:49:14,2024-11-16T01:11:16
29,961,SESSION_END,878,career,Oracle_1,False,2025-04-20T09:26:07,2025-04-20T09:40:45
30,643,SESSION_END,719,family,Oracle_2,False,2025-03-09T04:28:31,2025-03-09T04:40:30
31,197,SESSION_END,727,relationship,Oracle_5,False,2025-02-23T05:09:45,2025-02-23T05:21:52
32,225,SESSION_END,689,anxiety,Oracle_1,False,2024-08-02T16:57:54,2024-08-02T17:09:23
33,199,WRAP_UP,902,relationship,Oracle_1,False,2024-02-03T11:43:59,2024-02-03T11:59:01
34,661,WRAP_UP,901,family,Oracle_3,False,2024-07-14T06:05:45,2024-07-14T06:20:46
35,632,COUNSELLING,932,anxiety,Oracle_2,True,2024-05-16T14:46:57,2024-05-16T15:02:29
36,805,SESSION_END,565,relationship,Oracle_2,False,2024-02-25T00:55:00,2024-02-25T01:04:25
37,739,WRAP_UP,670,anxiety,Oracle_2,False,2024-09-09T23:12:27,2024-09-09T23:23:37
38,798,SESSION_END,1181,relationship,Oracle_4,False,2024-07-03T04:12:23,2024-07-03T04:32:04
39,891,SESSION_END,1377,career,Oracle_4,False,2024-02-12T04:57:32,2024-02-12T05:20:29
40,149,WRAP_UP,1258,career,Oracle_4,False,2024-05-18T07:17:35,2024-05-18T07:38:33
41,383,SESSION_END,772,career,Oracle_3,False,2024-06-06T01:29:03,2024-06-06T01:41:55
42,131,SESSION_END,618,relationship,Oracle_2,False,2024-08-05T22:50:26,2024-08-05T23:00:44
43,114,SESSION_END,969,anxiety,Oracle_5,False,2024-08-17T06:12:33,2024-08-17T06:28:42
44,161,SESSION_END,699,self-growth,Oracle_5,False,2025-03-25T00:57:53,2025-03-25T01:09:32
45,876,COUNSELLING,1284,career,Oracle_5,True,2024-06-17T02:46:57,2024-06-17T03:08:21
46,485,WRAP_UP,778,anxiety,Oracle_2,False,2024-07-10T13:58:01,2024-07-10T14:10:59
47,336,SESSION_END,1326,anxiety,Oracle_1,False,2024-11-20T11:49:54,2024-11-20T12:12:00
48,42,SESSION_END,739,anxiety,Oracle_5,False,2024-11-26T15:34:45,2024-11-26T15:47:04
49,404,SESSION_END,818,anxiety,Oracle_1,False,2025-03-09T18:57:05,2025-03-09T19:10:43
50,710,SESSION_END,883,self-growth,Oracle_3,False,2024-04-13T01:55:51,2024-04-13T02:10:34
51,303,SESSION_END,1435,career,Oracle_4,False,2024-05-05T16:13:24,2024-05-05T16:37:19
52,879,SESSION_END,749,general,Oracle_4,False,2024-12-19T06:50:49,2024-12-19T07:03:18
53,791,WRAP_UP,1301,career,Oracle_4,False,2025-05-01T20:36:11,2025-05-01T20:57:52
54,721,COUNSELLING,1211,self-growth,Oracle_1,True,2025-05-02T05:48:47,2025-05-02T06:08:58
55,395,SESSION_END,743,self-growth,Oracle_5,False,2025-04-20T17:51:02,2025-04-20T18:03:25
56,590,SESSION_END,1460,career,Oracle_3,False,2025-04-26T22:07:24,2025-04-26T22:31:44
57,754,WRAP_UP,1093,relationship,Oracle_4,False,2024-10-10T23:06:27,2024-10-10T23:24:40
58,634,SESSION_END,957,relationship,Oracle_5,False,2025-05-18T10:48:50,2025-05-18T11:04:47
59,722,SESSION_END,1136,relationship,Oracle_1,False,2025-02-23T03:30:13,2025-02-23T03:49:09
60,665,SESSION_END,1098,anxiety,Oracle_3,False,2024-06-24T02:27:16,2024-06-24T02:45:34
61,362,WRAP_UP,887,family,Oracle_4,False,2024-09-25T03:29:23,2024-09-25T03:44:10
62,498,SESSION_END,791,general,Oracle_5,False,2024-12-31T04:29:21,2024-12-31T04:42:32
63,695,WRAP_UP,459,general,Oracle_2,False,2024-02-20T23:23:13,2024-02-20T23:30:52
64,914,COUNSELLING,712,anxiety,Oracle_2,True,2024-10-30T10:50:58,2024-10-30T11:02:50
65,296,COUNSELLING,969,relationship,Oracle_2,True,2025-01-20T12:14:17,2025-01-20T12:30:26
66,896,SESSION_END,1445,career,Oracle_4,False,2024-08-15T17:04:28,2024-08-15T17:28:33
67,993,SESSION_END,634,self-growth,Oracle_1,False,2025-05-15T17:47:20,2025-05-15T17:57:54
68,299,COUNSELLING,1174,career,Oracle_5,True,2024-06-29T10:54:32,2024-06-29T11:14:06
69,661,WRAP_UP,703,family,Oracle_5,False,2025-01-12T14:27:46,2025-01-12T14:39:29
70,682,WRAP_UP,548,self-growth,Oracle_3,False,2024-12-21T17:52:15,2024-12-21T18:01:23
71,581,WRAP_UP,1213,career,Oracle_3,False,2025-01-11T02:56:45,2025-01-11T03:16:58
72,995,SESSION_END,1036,family,Oracle_3,False,2024-04-25T05:13:37,2024-04-25T05:30:53
73,292,SESSION_END,921,anxiety,Oracle_2,False,2024-05-16T04:56:06,2024-05-16T05:11:27
74,166,COUNSELLING,980,career,Oracle_5,True,2024-09-02T22:20:00,2024-09-02T22:36:20
75,130,SESSION_END,1047,anxiety,Oracle_3,False,2025-05-31T22:48:44,2025-05-31T23:06:11
76,353,SESSION_END,1441,career,Oracle_3,False,2025-02-18T11:49:32,2025-02-18T12:13:33
77,125,WRAP_UP,1076,relationship,Oracle_2,False,2024-09-05T17:17:41,2024-09-05T17:35:37
78,5,WRAP_UP,357,self-growth,Oracle_3,False,2025-05-17T17:30:06,2025-05-17T17:36:03
79,486,SESSION_END,998,family,Oracle_3,False,2024-12-09T09:26:40,2024-12-09T09:43:18
80,706,SESSION_END,712,relationship,Oracle_5,False,2024-04-18T07:02:18,2024-04-18T07:14:10
81,120,COUNSELLING,795,family,Oracle_1,True,2024-10-04T14:17:55,2024-10-04T14:31:10
82,335,SESSION_END,925,relationship,Oracle_5,False,2025-03-29T03:57:01,2025-03-29T04:12:26
83,228,COUNSELLING,1236,family,Oracle_5,True,2024-03-08T20:49:26,2024-03-08T21:10:02
84,404,SESSION_END,1335,career,Oracle_4,False,2024-10-07T10:44:13,2024-10-07T11:06:28
85,152,WRAP_UP,816,self-growth,Oracle_3,False,2024-09-24T21:46:43,2024-09-24T22:00:19
86,316,SESSION_END,980,anxiety,Oracle_4,False,2024-06-16T12:50:56,2024-06-16T13:07:16
87,760,WRAP_UP,1126,anxiety,Oracle_4,False,2024-11-25T04:48:17,2024-11-25T05:07:03
88,143,SESSION_END,996,general,Oracle_3,False,2024-06-10T09:22:14,2024-06-10T09:38:50
89,487,SESSION_END,964,general,Oracle_1,False,2024-10-18T20:54:19,2024-10-18T21:10:23
90,7,WRAP_UP,850,anxiety,Oracle_2,False,2024-11-17T23:06:04,2024-11-17T23:20:14
91,570,SESSION_END,1078,anxiety,Oracle_5,False,2024-08-12T19:59:04,2024-08-12T20:17:02
92,503,WRAP_UP,1378,relationship,Oracle_3,False,2025-03-30T13:04:21,2025-03-30T13:27:19
93,506,SESSION_END,733,general,Oracle_3,False,2024-07-23T00:39:16,2024-07-23T00:51:29
94,979,WRAP_UP,842,self-growth,Oracle_3,False,2024-04-06T10:49:32,2024-04-06T11:03:34
95,428,SESSION_END,1474,career,Oracle_1,False,2025-01-17T23:07:20,2025-01-17T23:31:54
96,614,WRAP_UP,900,self-growth,Oracle_4,False,2025-03-15T07:04:28,2025-03-15T07:19:28
97,890,WRAP_UP,1264,family,Oracle_5,False,2024-10-16T20:59:36,2024-10-16T21:20:40
98,751,COUNSELLING,660,general,Oracle_2,True,2024-07-20T14:07:25,2024-07-20T14:18:25
99,596,COUNSELLING,721,relationship,Oracle_2,True,2024-10-04T14:08:52,2024-10-04T14:20:53
100,55,WRAP_UP,974,family,Oracle_3,False,2024-02-07T20:06:41,2024-02-07T20:22:55
101,299,SESSION_END,380,general,Oracle_1,False,2024-05-22T07:58:51,2024-05-22T08:05:11
102,614,WRAP_UP,1110,career,Oracle_3,False,2024-08-21T20:23:40,2024-08-21T20:42:10
103,702,SESSION_END,658,self-growth,Oracle_1,False,2024-04-21T15:05:19,2024-04-21T15:16:17
104,141,WRAP_UP,680,general,Oracle_3,False,2024-11-16T00:08:03,2024-11-16T00:19:23
105,944,COUNSELLING,1219,career,Oracle_5,True,2024-05-26T08:20:36,2024-05-26T08:40:55
106,629,SESSION_END,956,self-growth,Oracle_4,False,2024-11-20T03:53:53,2024-11-20T04:09:49
107,939,COUNSELLING,1045,relationship,Oracle_3,True,2024-09-27T11:06:11,2024-09-27T11:23:36
108,708,COUNSELLING,927,family,Oracle_5,True,2024-12-09T06:19:10,2024-12-09T06:34:37
109,536,COUNSELLING,788,family,Oracle_2,True,2024-04-02T02:48:22,2024-04-02T03:01:30
110,132,COUNSELLING,1151,self-growth,Oracle_3,True,2024-06-24T23:39:12,2024-06-24T23:58:23
111,129,COUNSELLING,1409,career,Oracle_1,True,2024-03-27T18:39:09,2024-03-27T19:02:38
112,20,SESSION_END,1105,anxiety,Oracle_1,False,2024-06-01T12:14:52,2024-06-01T12:33:17
113,34,SESSION_END,410,self-growth,Oracle_1,False,2024-02-03T14:49:32,2024-02-03T14:56:22
114,309,COUNSELLING,924,self-growth,Oracle_1,True,2024-03-15T22:57:26,2024-03-15T23:12:50
115,943,SESSION_END,794,general,Oracle_2,False,2024-03-11T12:14:56,2024-03-11T12:28:10
116,867,WRAP_UP,1010,self-growth,Oracle_2,False,2024-09-30T13:32:41,2024-09-30T13:49:31
117,876,SESSION_END,644,general,Oracle_1,False,2025-03-25T01:11:34,2025-03-25T01:22:18
